FID,CID,TP,Lat,Long
0,0,0.000000000000000,26.352722931500001,-80.604695988800003
1,0,0.000000000000000,26.352964542399999,-80.605716133700000
2,0,0.000000000000000,26.353908283399999,-80.604181592399996
3,0,0.000000000000000,26.352459532600001,-80.604144918499998
4,0,0.000000000000000,26.352965401599999,-80.606072459800004
5,0,0.000000000000000,26.352787360499999,-80.605190765499998
6,0,0.000000000000000,26.352555363899999,-80.604330710400006
7,0,0.000000000000000,26.353910662499999,-80.604420466199997
8,0,0.000000000000000,26.352242583500001,-80.604397881500006
9,0,0.000000000000000,26.351724190599999,-80.605753678900001
10,0,0.000000000000000,26.353565319800001,-80.605901517400000
11,0,0.000000000000000,26.353313458500001,-80.604411125300004
12,0,0.000000000000000,26.351547345299998,-80.604814323200003
13,0,0.000000000000000,26.352480002400000,-80.605502883599996
14,0,0.000000000000000,26.353795216500000,-80.604610240000000
15,0,0.000000000000000,26.352472239800001,-80.606075379000004
16,0,0.000000000000000,26.352445307499998,-80.605263286600007
17,0,0.000000000000000,26.354243561499999,-80.605313080000002
18,0,0.000000000000000,26.353494676099999,-80.605118160499998
19,0,0.000000000000000,26.353968529599999,-80.605729610799997
20,0,0.000000000000000,26.353924282800001,-80.605493932900004
21,0,0.000000000000000,26.352361864700001,-80.604808698799999
22,0,0.000000000000000,26.353067174600000,-80.604234599400002
23,0,0.000000000000000,26.352126233900002,-80.605476947200003
24,0,0.000000000000000,26.353115443499998,-80.604695634999999
